mturk_code,start_dt_tm,end_dt_tm,status_response_type,ip_address,progress,duration_seconds,finished,recorded_dt_tm,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distributional_channel,user_language,gender,geder_text,location,political_identification,political_identification_text,age,time_submit_article_control,time_submit_article_treatment,point_of_article,article_factual,article_effectiveness,support_tb,recommend_article,time_first_click_survey,time_last_click_survey,time_submit_survey,click_count_survey,group,time_first_click_article,time_last_click_article,time_submit_article,click_count_article,worker_id,assignment_id,task_time,phase
0,2018-12-02 18:54:52,2018-12-02 18:56:52,IP Address,74.65.52.160,38,120,False,2018-12-02 20:12:03,R_vGJoixsK6E4QpVf,,,,,,,anonymous,EN,Male,,"UNITED STATES, NY",Republican,,49-59,,,,,,,,,,,,Control,,,,,,,,Primary
0,2018-12-02 18:53:31,2018-12-02 18:54:25,IP Address,99.61.181.109,38,54,False,2018-12-02 20:12:09,R_3qDUxBIuygV69Kv,,,,,,,anonymous,EN,Female,,United States Texas,Republican,,49-59,,,,,,,,,,,,Control,,,,,,,,Primary
0,2018-12-02 19:04:52,2018-12-02 19:06:31,IP Address,73.213.227.58,50,99,False,2018-12-02 20:12:09,R_3oGZm39b9R0Gxzu,,,,,,,anonymous,EN,Male,,"United States, Maryland",Independent,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,2018-12-02 19:05:21,2018-12-02 19:06:09,IP Address,24.45.130.187,63,48,False,2018-12-02 20:12:10,R_3Js0zfYOGOxFWss,,,,,,,anonymous,EN,Female,,"USA, CT",Independent,,18-24,,24.036,,,,,,,,,,Treatment,0,0,24.036,0,,,,Primary
0,2018-12-02 19:08:11,2018-12-02 19:09:59,IP Address,107.77.197.49,63,108,False,2018-12-02 20:12:10,R_2tyga6whR9O8HWV,,,,,,,anonymous,EN,Female,,"United States, Texas ",Democratic,,18-24,,4.644,,,,,,,,,,Treatment,1.498,3.771,4.644,2,,,,Primary
0,2018-12-02 19:12:23,2018-12-02 19:15:05,IP Address,71.94.243.232,38,161,False,2018-12-02 20:12:10,R_3m8huQfVMhJY36J,,,,,,,anonymous,EN,Female,,USA Oregon,Democratic,,36-48,,,,,,,,,,,,Control,,,,,,,,Primary
0,2018-12-02 19:07:23,2018-12-02 19:22:00,IP Address,107.140.191.176,63,877,False,2018-12-02 20:12:10,R_7Vyp4LqwBFMRXkB,,,,,,,anonymous,EN,Female,,"US, TX",Republican,,36-48,363.325,,,,,,,,,,,Control,3.499,362.497,363.325,3,,,,Primary
0,2018-12-02 18:54:49,2018-12-02 18:55:36,IP Address,73.192.133.172,63,46,False,2018-12-02 20:12:10,R_2BnYQSElVxw1UQu,,,,,,,anonymous,EN,Male,,"california, usa",Democratic,,26-35,,2.327,,,,,,,,,,Treatment,0,0,2.327,0,,,,Primary
0,2018-12-02 18:59:02,2018-12-02 18:59:52,IP Address,99.173.183.125,63,50,False,2018-12-02 20:12:10,R_1kNc9bsOgqs2vXO,,,,,,,anonymous,EN,Female,,USA and TN,Republican,,26-35,3.839,,,,,,,,,,,Control,0,0,3.839,0,,,,Primary
0,2018-12-02 18:58:52,2018-12-02 19:07:12,IP Address,107.140.191.176,63,500,False,2018-12-02 20:12:10,R_3IWIqTKQK7mcGtj,,,,,,,anonymous,EN,Female,,"USA, TX",Republican,,36-48,,414.152,,,,,,,,,,Treatment,411.755,411.755,414.152,1,,,,Primary
